240,70
247,72
236,74
247,77
133,78
130,80
140,80
230,80
240,80
222,82
236,86
141,89
229,89
130,90
220,90
213,93
147,97
121,98
209,99
219,99
130,100
140,100
150,100
160,100
99,101
90,102
201,102
167,103
106,104
131,108
81,110
90,110
100,110
110,110
120,110
140,110
150,110
160,110
170,110
180,110
190,110
73,111
70,120
80,120
90,120
100,120
110,120
120,120
129,120
140,120
150,120
160,120
170,120
180,120
190,120
140,129
179,129
60,130
70,130
80,130
90,130
100,130
110,130
120,130
130,130
150,130
160,130
170,130
167,137
58,138
131,139
70,140
80,140
90,140
100,140
110,140
120,140
140,140
150,140
160,140
156,146
119,149
50,150
59,150
70,150
80,150
90,150
100,150
110,150
130,150
140,150
150,150
45,153
138,158
59,159
40,160
50,160
70,160
80,160
100,160
110,160
120,160
130,160
89,161
63,167
127,167
118,168
70,170
80,170
90,170
100,170
110,170
71,177
80,179
90,180
100,180
110,180
120,180
130,180
138,182
93,187
139,189
100,190
110,190
120,190
130,190
149,190
100,200
110,200
120,200
130,200
140,200
150,200
160,200
166,203
101,209
129,209
110,210
120,210
140,210
150,210
160,210
170,210
177,212
122,218
159,219
130,220
140,220
150,220
170,220
180,220
189,221
153,227
160,230
170,230
180,230
190,230
200,230
206,233
161,240
170,240
180,240
190,240
200,240
210,240
217,242
161,248
189,249
170,250
180,250
200,250
210,250
220,250
229,251
208,258
219,259
190,260
200,260
230,260
240,260
246,263
200,270
210,270
220,270
230,270
240,270
250,270
258,272
201,278
210,279
241,279
259,279
220,280
230,280
250,280
220,289
230,290
