160,20
151,21
167,23
140,30
150,30
160,30
170,30
178,32
134,34
148,38
130,40
140,40
170,40
180,40
189,40
123,42
136,46
181,49
110,50
120,50
130,50
190,50
200,50
104,53
191,58
100,60
110,60
120,60
130,60
200,60
210,60
218,62
94,64
203,66
111,69
119,69
90,70
100,70
210,70
220,70
229,70
83,72
96,76
221,79
80,80
90,80
230,80
240,80
72,82
231,88
70,90
80,90
240,90
250,90
60,91
258,92
242,96
69,99
50,100
60,100
250,100
260,100
269,100
43,102
56,106
261,108
50,110
270,110
280,110
21,111
287,113
273,117
31,118
39,119
287,119
280,120
