10001001 8 8 8
10001002 15 15 15
10001003 8 8 8
10001004 18 18 18
10001005 2 2 2
10001006 30 30 30
10001007 4 4 4
10001008 10 10 10
10001009 4 4 4
10001010 10 10 10
10002001 16 16 16
10001011 20 20 20
10001012 11 11 11
10001013 11 11 11
10001014 11 11 11
10001015 12 12 12
10001016 10 10 10
10001017 10 10 10
10001018 20 20 20
10001019 20 20 20
10001020 50 50 50
10001021 50 50 50
10001022 50 50 50
10001023 20 20 20
10001024 50 50 50
10001025 20 20 20
10001026 25 25 25
10001027 49 49 49
10001028 20 20 20
10001029 20 20 20
10001030 10 10 10
10001076 300 300 300
10001079 300 300 300
10001080 450 450 450
10001034 5 5 5
10001074 20 20 20
10001045 2 2 2
10001046 2 2 2
10001047 2 2 2
10001048 2 2 2
10001049 2 2 2
10001050 2 2 2
10001051 2 2 2
10001052 2 2 2
10001053 2 2 2
10001054 2 2 2
10001055 2 2 2
10001056 2 2 2
10001057 2 2 2
10001058 2 2 2
10001059 2 2 2
10001060 2 2 2
10001061 2 2 2
10001062 2 2 2
10001063 2 2 2
10001064 2 2 2
10001065 2 2 2
10001035 17 17 17
10001036 9 9 9
10001037 17 17 17
10001038 10 10 10
10001039 18 18 18
10001040 10 10 10
10001041 10 10 10
10001042 15 15 15
10001043 10 10 10
10001044 15 15 15
10001066 15 15 15
10001067 26 26 26
10001068 15 15 15
10001069 10 10 10
10001070 2 2 2
10001071 1000 1000 1000
10001072 1 1 1
10001073 10 10 10
10001075 50 50 50
10001077 10 10 10
10001102 500 500 500
10001101 300 300 300
10001078 5 5 5
